Timestamp,Event
2026-05-29 10:03:04 PM,Vehicle Detected
2026-05-29 10:03:13 PM,Vehicle Detected
2026-05-29 10:03:18 PM,Vehicle Detected
2026-05-29 10:03:20 PM,Vehicle Detected
2026-05-29 10:03:40 PM,Vehicle Detected
2026-05-29 10:03:58 PM,Vehicle Detected
2026-05-29 10:05:58 PM,Vehicle Detected
2026-05-29 10:06:41 PM,Vehicle Detected
2026-05-29 10:06:44 PM,Vehicle Detected
2026-05-29 10:06:49 PM,Vehicle Detected
2026-05-29 10:07:27 PM,Vehicle Detected
2026-05-29 10:07:35 PM,Vehicle Detected
2026-05-29 10:07:57 PM,Vehicle Detected
2026-05-29 10:08:07 PM,Vehicle Detected
2026-05-29 10:09:57 PM,Vehicle Detected
2026-05-29 10:10:05 PM,Vehicle Detected
2026-05-29 10:10:14 PM,Vehicle Detected
2026-05-29 10:10:16 PM,Vehicle Detected
2026-05-29 10:10:34 PM,Vehicle Detected
2026-05-29 10:11:52 PM,Vehicle Detected
2026-05-29 10:11:54 PM,Vehicle Detected
2026-05-29 10:12:30 PM,Vehicle Detected
2026-05-29 10:12:48 PM,Vehicle Detected
2026-05-29 10:13:14 PM,Vehicle Detected
2026-05-29 10:13:19 PM,Vehicle Detected
2026-05-29 10:13:21 PM,Vehicle Detected
2026-05-29 10:13:45 PM,Vehicle Detected
2026-05-29 10:13:52 PM,Vehicle Detected
2026-05-29 10:15:29 PM,Vehicle Detected
2026-05-29 10:15:56 PM,Vehicle Detected
2026-05-29 10:15:58 PM,Vehicle Detected
2026-05-29 10:16:21 PM,Vehicle Detected
2026-05-29 10:16:24 PM,Vehicle Detected
2026-05-29 10:16:56 PM,Vehicle Detected
2026-05-29 10:17:16 PM,Vehicle Detected
2026-05-29 10:18:01 PM,Vehicle Detected
2026-05-29 10:18:06 PM,Vehicle Detected
2026-05-29 10:19:35 PM,Vehicle Detected
2026-05-29 10:19:39 PM,Vehicle Detected
2026-05-29 10:19:56 PM,Vehicle Detected
2026-05-29 10:20:03 PM,Vehicle Detected
2026-05-29 10:20:17 PM,Vehicle Detected
2026-05-29 10:20:22 PM,Vehicle Detected
2026-05-29 10:21:32 PM,Vehicle Detected
2026-05-29 10:21:46 PM,Vehicle Detected
2026-05-29 10:23:49 PM,Vehicle Detected
2026-05-29 10:24:43 PM,Vehicle Detected
2026-05-29 10:24:53 PM,Vehicle Detected
2026-05-29 10:24:58 PM,Vehicle Detected
2026-05-29 10:25:01 PM,Vehicle Detected
2026-05-29 10:25:22 PM,Vehicle Detected
2026-05-29 10:48:40 PM,Vehicle Detected
2026-05-29 10:48:43 PM,Vehicle Detected
2026-05-29 10:49:28 PM,Vehicle Detected
2026-05-29 10:49:31 PM,Vehicle Detected
2026-05-29 10:49:33 PM,Vehicle Detected
2026-05-29 10:50:12 PM,Vehicle Detected
2026-05-29 10:50:14 PM,Vehicle Detected
2026-05-29 10:50:17 PM,Vehicle Detected
2026-05-29 10:50:24 PM,Vehicle Detected
2026-05-29 10:50:27 PM,Vehicle Detected
2026-05-29 10:51:44 PM,Vehicle Detected
2026-05-29 10:51:53 PM,Vehicle Detected
2026-05-29 10:52:21 PM,Vehicle Detected
2026-05-29 10:52:24 PM,Vehicle Detected
2026-05-29 10:53:47 PM,Vehicle Detected
2026-05-29 10:55:05 PM,Vehicle Detected
2026-05-29 10:55:07 PM,Vehicle Detected
2026-05-29 10:56:35 PM,Vehicle Detected
2026-05-29 10:56:37 PM,Vehicle Detected
2026-05-29 10:56:40 PM,Vehicle Detected
2026-05-29 10:57:27 PM,Vehicle Detected
2026-05-29 10:57:29 PM,Vehicle Detected
2026-05-29 10:58:07 PM,Vehicle Detected
2026-05-29 10:58:10 PM,Vehicle Detected
2026-05-29 10:59:10 PM,Vehicle Detected
2026-05-29 10:59:13 PM,Vehicle Detected
2026-05-29 11:00:14 PM,Vehicle Detected
2026-05-29 11:00:18 PM,Vehicle Detected
2026-05-29 11:00:45 PM,Vehicle Detected
2026-05-29 11:00:48 PM,Vehicle Detected
2026-05-29 11:02:37 PM,Vehicle Detected
2026-05-29 11:03:52 PM,Vehicle Detected
2026-05-29 11:04:17 PM,Vehicle Detected
2026-05-29 11:04:27 PM,Vehicle Detected
2026-05-29 11:04:30 PM,Vehicle Detected
2026-05-29 11:04:42 PM,Vehicle Detected
2026-05-29 11:04:44 PM,Vehicle Detected
2026-05-29 11:05:01 PM,Vehicle Detected
2026-05-29 11:05:03 PM,Vehicle Detected
2026-05-29 11:05:17 PM,Vehicle Detected
2026-05-29 11:05:59 PM,Vehicle Detected
2026-05-29 11:06:37 PM,Vehicle Detected
2026-05-29 11:07:13 PM,Vehicle Detected
2026-05-29 11:07:15 PM,Vehicle Detected
2026-05-29 11:07:56 PM,Vehicle Detected
2026-05-29 11:07:58 PM,Vehicle Detected
2026-05-29 11:08:08 PM,Vehicle Detected
2026-05-29 11:09:07 PM,Vehicle Detected
2026-05-29 11:10:18 PM,Vehicle Detected
2026-05-29 11:10:44 PM,Vehicle Detected
2026-05-29 11:10:47 PM,Vehicle Detected
2026-05-29 11:10:59 PM,Vehicle Detected
2026-05-29 11:11:14 PM,Vehicle Detected
2026-05-29 11:12:13 PM,Vehicle Detected
2026-05-29 11:12:25 PM,Vehicle Detected
2026-05-29 11:12:29 PM,Vehicle Detected
2026-05-29 11:13:08 PM,Vehicle Detected
2026-05-29 11:13:45 PM,Vehicle Detected
2026-05-29 11:14:11 PM,Vehicle Detected
2026-05-29 11:14:13 PM,Vehicle Detected
2026-05-29 11:14:43 PM,Vehicle Detected
2026-05-29 11:14:59 PM,Vehicle Detected
2026-05-29 11:16:12 PM,Vehicle Detected
2026-05-29 11:17:06 PM,Vehicle Detected
2026-05-29 11:17:31 PM,Vehicle Detected
2026-05-29 11:17:33 PM,Vehicle Detected
2026-05-29 11:18:10 PM,Vehicle Detected
2026-05-29 11:19:13 PM,Vehicle Detected
